step,correct_token_mean,incorrect_token_mean,experiment
1,0.00486124994677084,0.002259311680973042,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
2,0.00540284159615112,0.0005864601334906183,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
3,0.007113196851605608,0.0029984790162416175,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
4,0.00972656803423888,0.0022401448732125573,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
5,0.004379958780191373,0.0026944201381411403,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
6,0.011146389540044765,0.003475615223578643,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
7,0.009238944584012643,0.0012482910824473947,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
8,0.004854712967301111,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
9,0.004835015582330016,0.0018173930366174318,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
10,0.0024743105875018045,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
11,0.0028498205288940426,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
12,0.004317526765589719,0.00045936567403259687,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
13,0.004502443812953061,0.0019473040993034374,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
14,0.0027083883968543887,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
15,0.00638626806346565,0.003676760727103101,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
16,0.010875702208068105,0.0004023729961772915,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
17,0.009424507254152559,0.00031889245656202547,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
18,0.008389405008074391,0.0023741943878121674,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
19,0.0030414604170800885,0.0032907521817833185,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
20,0.007472197205743214,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
21,0.006844556964097137,0.00031831537125981413,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
22,0.005029962896514917,0.0018535221242927946,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
23,0.005137429533533577,0.00013675693480763584,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
24,0.007207601247273487,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
25,0.00425658606604884,0.0006320568354567513,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
26,0.0016787381980520877,0.0001183471831609495,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
27,0.003861913183982324,0.00011727643868653104,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
28,0.004478015653688772,0.0002885758185584564,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
29,0.003689261317049386,0.00043578690383583307,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
30,0.0055452142051422015,0.0003090459831582848,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
31,0.005367005565631189,0.0010766822524601594,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
32,0.002546361066379177,0.0007856275769881904,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
33,0.003831485035334481,0.0008241910836659372,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
34,0.005694752977028372,0.0013552907767007127,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
35,0.003859756703434414,0.0007920590578578413,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
36,0.0068576002091731425,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
37,0.004687775784304904,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
38,0.002713402790220698,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
39,0.003523450363900338,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
40,0.0015672668685056124,0.0006339139690680895,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
41,0.002163608939259376,0.0005842814052812173,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
42,0.000820097707780576,0.00042692955685197376,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
43,0.000350793072303901,0.0,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
44,0.0022354220384901424,0.0014565878173016245,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
45,0.001400513725576591,6.229695281945169e-05,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
46,0.002124810845259617,0.0003102518239757046,qwen3gen-tooluse-SDPO_TR-Qwen-Qwen3-4B-mbs32-tr0.1-train32-rollout8-lr1e-5-vllm0.8-newrepo-sdpo-200clean-jsdhist3
